SNR_dB,devices=2,devices=4,devices=8,devices=16
-20.0,0.911925,0.9123325,0.912725,0.9128081249999999
-19.5,0.89937,0.89971,0.8988,0.89899125
-19.0,0.8812249999999999,0.8822574999999999,0.8825075000000001,0.882235625
-18.5,0.86199,0.8625550000000001,0.8633587500000001,0.86302
-18.0,0.8378300000000001,0.8381624999999999,0.83941625,0.840098125
-17.5,0.81058,0.8116975,0.812365,0.8130556249999998
-17.0,0.77847,0.778715,0.7804575,0.7814143749999999
-16.5,0.7405349999999999,0.741635,0.74316625,0.744408125
-16.0,0.698575,0.69893,0.6999225,0.7029837499999999
-15.5,0.65093,0.65056,0.65307875,0.656349375
-15.0,0.5937650000000001,0.5958825000000001,0.5988325,0.6033612500000001
-14.5,0.534915,0.536175,0.53921875,0.5462174999999999
-14.0,0.47004,0.4724825,0.4766925,0.4852175
-13.5,0.40197499999999997,0.40567250000000005,0.41198875,0.4223493750000001
-13.0,0.335345,0.33846,0.34469875,0.35871437500000003
-12.5,0.26707000000000003,0.27261749999999996,0.28145375,0.297213125
-12.0,0.205125,0.21128,0.22055875000000003,0.237988125
-11.5,0.151345,0.1569925,0.16621,0.18819312500000004
-11.0,0.10424,0.11090249999999999,0.12245125,0.14629000000000003
-10.5,0.06736,0.07436,0.08784875,0.113746875
-10.0,0.04148,0.049045,0.06287124999999999,0.09064250000000001
-9.5,0.02436,0.03164,0.0457825,0.074295625
-9.0,0.013465000000000001,0.0213425,0.03642375,0.06481625
-8.5,0.00819,0.0156675,0.030879999999999998,0.059970625
-8.0,0.00526,0.013292500000000002,0.028269999999999997,0.05767937499999999
-7.5,0.004569999999999999,0.012215,0.0272775,0.05658875
-7.0,0.0038250000000000003,0.0116875,0.026668750000000005,0.056664375
-6.5,0.003915,0.01172,0.0267075,0.055908125
-6.0,0.003845,0.01147,0.026456250000000004,0.05609375
-5.5,0.00387,0.01174,0.026451250000000003,0.055880624999999996
-5.0,0.0038900000000000002,0.0116275,0.026615,0.05615375
-4.5,0.0038,0.011609999999999999,0.0266275,0.056278125000000005
-4.0,0.0039299999999999995,0.011445,0.026596250000000002,0.056095625
-3.5,0.00411,0.011595000000000001,0.026535,0.05600937499999999
-3.0,0.00379,0.011612500000000001,0.026592499999999998,0.05622375
-2.5,0.0038900000000000002,0.01133,0.026442499999999997,0.05585
-2.0,0.0038599999999999997,0.011994999999999999,0.02653875,0.056422499999999993
-1.5,0.00421,0.011385,0.02677125,0.05618875
-1.0,0.0039,0.011762499999999999,0.026541249999999995,0.055783750000000014
-0.5,0.00375,0.011655,0.02677125,0.055738125
0.0,0.00378,0.011392500000000002,0.026726250000000003,0.055748125
