SNR_dB,devices=2,devices=4,devices=8,devices=16
-20.0,0.906,0.907,0.917,0.925
-19.5,0.901,0.908,0.91,0.897
-19.0,0.889,0.876,0.887,0.876
-18.5,0.876,0.845,0.854,0.849
-18.0,0.823,0.845,0.827,0.823
-17.5,0.81,0.81,0.801,0.808
-17.0,0.773,0.785,0.775,0.792
-16.5,0.738,0.739,0.741,0.776
-16.0,0.72,0.704,0.698,0.715
-15.5,0.662,0.668,0.666,0.685
-15.0,0.561,0.624,0.606,0.627
-14.5,0.548,0.553,0.569,0.573
-14.0,0.465,0.511,0.492,0.523
-13.5,0.423,0.42,0.45,0.448
-13.0,0.35,0.35,0.39,0.439
-12.5,0.283,0.264,0.323,0.414
-12.0,0.232,0.225,0.256,0.329
-11.5,0.158,0.166,0.188,0.29
-11.0,0.092,0.129,0.195,0.267
-10.5,0.072,0.095,0.163,0.25
-10.0,0.051,0.079,0.122,0.206
-9.5,0.035,0.06,0.124,0.229
-9.0,0.026,0.054,0.121,0.211
-8.5,0.02,0.047,0.114,0.252
-8.0,0.012,0.05,0.115,0.195
-7.5,0.012,0.034,0.101,0.226
-7.0,0.017,0.044,0.101,0.197
-6.5,0.01,0.061,0.092,0.192
-6.0,0.017,0.046,0.108,0.213
-5.5,0.02,0.053,0.099,0.188
-5.0,0.02,0.046,0.094,0.187
-4.5,0.018,0.049,0.11,0.204
-4.0,0.018,0.053,0.1,0.214
-3.5,0.024,0.045,0.112,0.173
-3.0,0.01,0.057,0.094,0.185
-2.5,0.01,0.038,0.107,0.207
-2.0,0.02,0.047,0.1,0.209
-1.5,0.015,0.048,0.119,0.183
-1.0,0.015,0.038,0.106,0.204
-0.5,0.019,0.051,0.085,0.224
0.0,0.013,0.034,0.111,0.218
