SNR_dB,devices=2,devices=4,devices=8,devices=16
-20.0,0.8307,0.8367,0.8339,0.839
-19.5,0.8054,0.8044,0.8098,0.8107
-19.0,0.7632,0.7718,0.7639,0.7727
-18.5,0.7171,0.7211,0.7181,0.7288
-18.0,0.6765,0.6598,0.6634,0.6686
-17.5,0.6061,0.6165,0.6145,0.6168
-17.0,0.5463,0.5473,0.5544,0.5517
-16.5,0.4849,0.4786,0.4899,0.4937
-16.0,0.4004,0.3978,0.4045,0.4244
-15.5,0.3362,0.3378,0.3517,0.3601
-15.0,0.2652,0.267,0.2774,0.2947
-14.5,0.204,0.2031,0.2169,0.2253
-14.0,0.1408,0.1437,0.1587,0.1875
-13.5,0.0927,0.106,0.1141,0.138
-13.0,0.0589,0.0651,0.0788,0.1068
-12.5,0.0372,0.0424,0.0614,0.0829
-12.0,0.0177,0.0253,0.0448,0.0714
-11.5,0.0109,0.0185,0.0313,0.064
-11.0,0.007,0.0158,0.0292,0.0625
-10.5,0.0047,0.0125,0.0265,0.0551
-10.0,0.0034,0.0122,0.0307,0.0553
-9.5,0.0042,0.0125,0.0285,0.0539
-9.0,0.004,0.0131,0.0256,0.0545
-8.5,0.0044,0.0112,0.0257,0.0578
-8.0,0.0048,0.0122,0.0275,0.0575
-7.5,0.0033,0.0129,0.0253,0.059
-7.0,0.0043,0.0136,0.0268,0.0592
-6.5,0.0037,0.0099,0.0279,0.0558
-6.0,0.0034,0.0118,0.0254,0.0535
-5.5,0.0038,0.0128,0.0263,0.0575
-5.0,0.0037,0.0128,0.0273,0.0567
-4.5,0.0039,0.0126,0.0294,0.0548
-4.0,0.0033,0.0114,0.0244,0.0547
-3.5,0.0044,0.0097,0.0291,0.0561
-3.0,0.0041,0.0123,0.0256,0.0584
-2.5,0.0034,0.0124,0.0262,0.0597
-2.0,0.0044,0.0098,0.0262,0.0614
-1.5,0.0046,0.0108,0.0265,0.0564
-1.0,0.0031,0.0116,0.0258,0.0531
-0.5,0.0038,0.0118,0.025,0.0602
0.0,0.0024,0.012,0.0268,0.0587
