SNR_dB,devices=2,devices=4,devices=8,devices=16
-20.0,0.91227,0.91041,0.91268,0.91327
-19.5,0.89906,0.89737,0.90005,0.89923
-19.0,0.88224,0.88117,0.88134,0.88162
-18.5,0.86103,0.86132,0.86228,0.86319
-18.0,0.8389,0.83927,0.83993,0.83954
-17.5,0.81097,0.81268,0.81176,0.8109
-17.0,0.77759,0.77983,0.77875,0.77913
-16.5,0.74169,0.74029,0.74088,0.74131
-16.0,0.69638,0.695,0.70063,0.69685
-15.5,0.64957,0.64861,0.6481,0.64982
-15.0,0.59409,0.59674,0.59486,0.5942
-14.5,0.53228,0.53579,0.53163,0.53471
-14.0,0.46955,0.46968,0.46881,0.46726
-13.5,0.4004,0.40133,0.40035,0.3989
-13.0,0.33236,0.33097,0.33237,0.33278
-12.5,0.26319,0.2676,0.26496,0.26604
-12.0,0.20089,0.20508,0.20218,0.20235
-11.5,0.14884,0.14584,0.14938,0.14907
-11.0,0.10218,0.10145,0.10118,0.1005
-10.5,0.06636,0.06423,0.06495,0.06421
-10.0,0.03889,0.03785,0.0381,0.03754
-9.5,0.02094,0.02064,0.02019,0.02072
-9.0,0.00963,0.00975,0.00957,0.00979
-8.5,0.00407,0.00402,0.00383,0.00468
-8.0,0.00177,0.00169,0.00165,0.00139
-7.5,0.00051,0.00045,0.00056,0.00061
-7.0,0.00012,0.00015,0.00018,0.00014
-6.5,2.0e-5,6.0e-5,2.0e-5,3.0e-5
-6.0,1.0e-5,0.0,0.0,0.0
-5.5,0.0,0.0,0.0,1.0e-5
-5.0,0.0,0.0,0.0,0.0
-4.5,0.0,0.0,0.0,0.0
-4.0,0.0,0.0,0.0,0.0
-3.5,0.0,0.0,0.0,0.0
-3.0,0.0,0.0,0.0,0.0
-2.5,0.0,0.0,0.0,0.0
-2.0,0.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
