parameter,value
Duration (ms),0.1428
Bandwidth (MHz),7.2
Center Frequency (GHz),4.7
Sampling Rate (MHz),15.36
Sample Count,3072000
Modulation,QPSK
Signal Interval (ms),20.0
Total Signals,10
Signal Duration (ms),0.1428
