SNR_dB,SER_nd=2,SER_nd=4,SER_nd=8
-20.0,0.9139375000000001,0.9175898437500001,0.921244140625
-19.5,0.8990078125000001,0.90369921875,0.90964453125
-19.0,0.8838046875000001,0.88779296875,0.894818359375
-18.5,0.864953125,0.870765625,0.8776171875
-18.0,0.8422109375,0.8452500000000001,0.8534921875000001
-17.5,0.8130390624999999,0.8187656249999999,0.8319941406249999
-17.0,0.782515625,0.7887382812500001,0.802150390625
-16.5,0.7462578125,0.7561562499999999,0.768310546875
-16.0,0.70146875,0.70989453125,0.7302578125
-15.5,0.6559765625,0.6655078125,0.686419921875
-15.0,0.6037578125,0.6130585937499999,0.637951171875
-14.5,0.5430546875,0.55578125,0.5819375000000001
-14.0,0.4738203125,0.4915,0.525232421875
-13.5,0.4120390625,0.43025390625000004,0.46387109375
-13.0,0.3446953125,0.36575,0.40082031249999994
-12.5,0.27465625,0.30452734375,0.34532226562499996
-12.0,0.21723437499999998,0.24154296875,0.28822265625
-11.5,0.1609453125,0.18851171875,0.240779296875
-11.0,0.1186875,0.1414765625,0.20051367187499997
-10.5,0.07396093749999999,0.10001171875,0.16354687499999998
-10.0,0.05378125,0.083890625,0.14308203125
-9.5,0.036851562500000004,0.06744140625,0.132458984375
-9.0,0.024171875,0.057863281249999995,0.10743359375
-8.5,0.0265,0.058273437500000004,0.10267968749999999
-8.0,0.0159140625,0.041148437499999996,0.10179492187500001
-7.5,0.01575,0.05915625000000001,0.104859375
-7.0,0.022031250000000002,0.046632812499999995,0.10185351562499999
-6.5,0.017812500000000002,0.043898437500000005,0.11022656249999999
-6.0,0.017125,0.04831640625,0.098267578125
-5.5,0.0180625,0.05135546875,0.110060546875
-5.0,0.019734375,0.043601562499999996,0.09927734375000001
-4.5,0.0175625,0.04359765625,0.10544140625
-4.0,0.020171875,0.045828125,0.1159140625
-3.5,0.018453125,0.04669921875,0.10366796875
-3.0,0.015296875,0.0471953125,0.103474609375
-2.5,0.010921875,0.04367578125,0.110640625
-2.0,0.016359375,0.0430703125,0.113275390625
-1.5,0.01728125,0.04741796875,0.11060351562500001
-1.0,0.017015625,0.039875,0.10321484374999998
-0.5,0.01565625,0.048343750000000005,0.10665234374999999
0.0,0.01875,0.04337890625,0.103126953125
