time_ms,power_mw,power_dbm
6.3,1.3734446193679716e-13,-128.6218884770159
6.35,2.7013270999971425e-14,-135.68422824504643
6.4,7.366321867053727e-14,-131.32749308827374
6.45,5.486419000278645e-14,-132.60711028200646
6.5,5.933564477601846e-14,-132.2668433397396
6.55,1.4551761231671374e-13,-128.3708443988041
6.6,7.462662096421967e-14,-131.27106222453256
6.65,3.8174684277493734e-13,-124.18224546075321
6.7,6.648913361398044e-14,-131.77249326081832
6.75,8.556472560425702e-15,-140.67705238041853
6.8,4.326415166737454e-14,-133.63871807603405
6.85,4.57158699215601e-14,-133.3993301168218
6.9,1.2422305968400191e-13,-129.0579777804077
6.95,1.621021466639955e-13,-127.90211233898218
7.0,1.6204038735703312e-13,-127.90376727307624
7.05,1.515765774042193e-13,-128.19367903519296
7.1,5.066103623678358e-14,-132.9532593125857
7.15,1.684261174936362e-13,-127.73590562457044
7.2,9.105557828165644e-15,-140.40693443139432
7.25,1.6548957308794992e-13,-127.8122936438386
7.3,2.222955988247009e-14,-136.53069135704374
7.35,2.4683905660253287e-13,-126.07586122090325
7.4,2.6965889416312315e-13,-125.6918525079854
7.45,1.2379879660398242e-15,-149.07283576889327
7.5,3.222358372118587e-14,-134.9182616150258
7.55,1.5323654490457037e-13,-128.1463764881762
7.6,5.696794565702574e-14,-132.44369441521104
7.65,3.533513196736836e-14,-134.51793282371253
7.7,2.8477849558154114e-14,-135.45492808584623
7.75,2.042530707181075e-15,-146.8983140561119
7.8,1.728588932172874e-14,-137.6230827203225
7.85,6.807792981025698e-14,-131.66993659234453
7.9,9.768403206696522e-14,-130.10176422483593
7.95,4.68816158220713e-13,-123.28997428335613
8.0,2.188018962202741e-14,-136.5994891856149
8.05,3.535099525342929e-14,-134.51598354795289
8.1,5.586434291526279e-14,-132.52865305104422
8.15,1.2070875560001962e-13,-129.18261227244295
8.2,4.9250451037322435e-14,-133.07589787864373
8.25,1.4069680952174749e-13,-128.51715750630711
8.3,8.734443248222424e-14,-130.58764772642226
8.35,1.3919706584950214e-13,-128.56369919170862
8.4,7.05331322678415e-14,-131.51606829377658
8.45,1.5488239922145698e-13,-128.09997932501014
8.5,1.4545303946714146e-13,-128.37277199064462
8.55,6.93661700400782e-14,-131.5885228382508
8.6,1.8297202945819236e-13,-127.37615294861882
8.65,7.971110027940608e-14,-130.9848119611436
8.7,1.6796633807430676e-13,-127.74777745972872
8.75,1.2030350024171107e-13,-129.1972173663733
8.8,1.1140752422871947e-13,-129.5308547684036
8.85,2.62607122585292e-13,-125.80693498895664
8.9,9.855702961398386e-14,-130.06312394076724
8.95,2.1536852045962157e-13,-126.66817775456684
9.0,1.0490147397446091e-14,-139.79218409475865
9.05,7.75544273755314e-14,-131.10393404428348
9.1,2.335511497192036e-13,-126.31617990437954
9.15,5.3998919055982444e-14,-132.67614933745935
9.2,1.0786089590157781e-13,-129.67135976746766
9.25,1.5705594021791462e-13,-128.0394563293581
9.3,2.106433792264271e-13,-126.76452186718079
9.35,6.542986253066448e-14,-131.84223992161313
9.4,7.042691885450751e-14,-131.5226131137703
9.45,4.557889960263016e-14,-133.41236164067323
9.5,1.6575901027676477e-13,-127.80522855037076
9.55,3.8548038665527706e-14,-134.1399771406978
9.6,1.1745904331053298e-13,-129.3011354075382
9.65,1.0810409836422826e-14,-139.66157841076944
9.7,2.027275159773324e-14,-136.9308730100556
9.75,1.8723701406568093e-13,-127.27608293335763
9.8,2.7725379718430392e-14,-135.5712249717196
9.85,3.777033920070124e-13,-124.22849114925418
9.9,4.3508669391024254e-14,-133.6142419836603
9.95,5.992429659241791e-15,-142.22397055130344
10.0,8.502840645794202e-14,-130.70435960086186
10.05,1.6843428550613815e-13,-127.73569501372234
10.1,1.6699784212405336e-13,-127.77289140586973
10.15,1.468173022825449e-13,-128.3322276020305
