time_seconds,power_dbm
0.23,-99.8037256704532
0.231,-100.35807029461236
0.232,-99.9253152103118
0.233,-99.53995991895114
0.234,-100.40249616884904
0.235,-99.67235539599015
0.236,-99.47443376260668
0.237,-99.38708489680161
0.238,-98.95164502575749
0.239,-98.4312504234556
0.24,-97.74851190959035
0.241,-96.65062471667063
0.242,-96.4632915804288
0.243,-97.56520281450847
0.244,-98.43838667266462
0.245,-99.73390076707264
0.246,-99.61784690566516
0.247,-100.0956868697748
0.248,-100.25307925900827
0.249,-100.11973386560551
0.25,-100.333692766907
0.251,-100.30050825941308
0.252,-99.43299595233692
0.253,-99.93507722972747
0.254,-99.99767127538186
0.255,-100.22148762056851
0.256,-100.5877975940593
0.257,-99.83059596046716
0.258,-100.51275601557379
0.259,-99.63580274393864
0.26,-99.52755937655547
0.261,-100.1852049863693
0.262,-99.78477429814289
0.263,-100.00965150619425
0.264,-99.75604131422679
0.265,-100.2942047452704
0.266,-100.14146418734946
0.267,-100.43765994200116
0.268,-100.14345431415188
0.269,-99.56374623250882
0.27,-99.93019184537346
0.271,-99.75165280313789
0.272,-99.72532031351844
0.273,-100.2149528156082
0.274,-100.12483174319121
0.275,-100.3949574073609
0.276,-99.77380218098142
0.277,-99.7307921347896
0.278,-99.82597714206021
0.279,-98.00920919526527
0.28,-97.39218097373792
0.281,-96.46996987825804
0.282,-96.96560567602096
0.283,-97.47619313219744
0.284,-98.00224616736661
0.285,-99.84117114192067
0.286,-99.89442953624955
0.287,-100.26461084150263
0.288,-99.87811958786668
0.289,-100.30508411463425
0.29,-100.14902949750697
0.291,-100.05172451073756
0.292,-100.3664614815153
0.293,-100.30674289498765
0.294,-100.40792834441324
0.295,-100.3268119885599
0.296,-100.03750985118415
0.297,-100.53652480360249
0.298,-99.78546471042165
0.299,-99.90907403624901
0.3,-99.67702564445912
0.301,-99.52593238940499
0.302,-99.79896200995522
0.303,-100.10284806955306
0.304,-99.83668690844486
0.305,-100.02447961238296
0.306,-99.96667857186416
0.307,-100.0612593952942
0.308,-100.1042216373351
0.309,-100.17450605614513
0.31,-100.1524606034864
0.311,-99.63184435780282
0.312,-99.97380553557113
0.313,-100.48640871563285
0.314,-100.13222749337717
0.315,-99.85962763020692
0.316,-99.39714827975871
0.317,-98.85738348057922
0.318,-97.31117911802446
0.319,-95.71570701763386
0.32,-95.28196356347514
0.321,-95.57462071400161
0.322,-96.63070981591525
0.323,-98.09523949509254
0.324,-99.25472555900785
0.325,-99.74069991093359
0.326,-100.11790369514911
0.327,-99.63359403473241
0.328,-100.05539010636019
0.329,-100.31219864580207
0.33,-99.68239001663768
0.331,-99.8989060531315
0.332,-99.85733670092691
0.333,-99.82238442580301
0.334,-99.82561071647538
0.335,-100.25995561151286
0.336,-99.8592831916459
0.337,-100.1877427769479
0.338,-100.10895602320001
0.339,-100.28649356756888
0.34,-100.28385360288621
0.341,-100.03974501338315
0.342,-99.41703405671848
0.343,-99.71226730509431
0.344,-100.06789998569151
0.345,-99.96498095580768
0.346,-100.28993714231561
0.347,-99.53290551290891
0.348,-99.84887720780391
0.349,-100.09335745960176
0.35,-99.95361577677936
0.351,-99.96902157711996
0.352,-99.18444368122736
0.353,-100.0888445330753
0.354,-100.21330981130446
0.355,-100.12435037275033
0.356,-99.91626460218133
0.357,-99.72051502875836
0.358,-98.57310386345765
0.359,-97.59669513682255
0.36,-97.01911341326085
0.361,-96.98311369401036
0.362,-98.23424017522248
0.363,-99.07147605359481
0.364,-99.31290284314866
0.365,-99.72703956648985
0.366,-100.55526946531702
0.367,-99.7810214500985
0.368,-100.26626162551068
0.369,-100.2035077618626
0.37,-99.83583375955574
0.371,-99.82683140449521
0.372,-99.86757501671154
0.373,-100.2363122965361
0.374,-99.91216705448745
0.375,-100.07244453058594
0.376,-99.5937784306785
0.377,-100.05317483919114
0.378,-100.12461886229546
0.379,-100.06329062691886
0.38,-99.74886327407813
0.381,-100.28248196127461
0.382,-99.87274895725088
0.383,-100.1045772867514
0.384,-99.74312245633938
0.385,-100.26389597763686
0.386,-100.01218189759021
0.387,-99.87298007448886
0.388,-100.25041857736238
0.389,-99.9185436930656
0.39,-99.87434708154856
0.391,-100.20603286091838
0.392,-100.07425579066026
0.393,-100.05004508060028
0.394,-100.00640765706268
0.395,-99.49064553435986
0.396,-99.78119150841803
0.397,-98.75600318067045
