terminal_id,detection_time,peak_power_dbm,confidence,transmission_time
1,0.0009,-94.85278849278438,0.857868584535936,-0.0041
1,0.0433,-94.4305322909777,0.9282446181703842,0.0383
1,0.0837,-95.318998111921,0.7801669813464992,0.07869999999999999
1,0.12369999999999999,-95.69481064807005,0.7175315586549923,0.11869999999999999
1,0.1636,-96.10752304770827,0.6487461587152884,0.1586
1,0.20070000000000002,-96.97473483022341,0.5042108616294314,0.1957
1,0.2443,-96.044770513737,0.6592049143771656,0.23929999999999998
1,0.28380000000000005,-95.06162982747766,0.8230616954203901,0.27880000000000005
1,0.3229,-96.09737391982365,0.6504376800293912,0.3179
1,0.36269999999999997,-95.5141374222605,0.7476437629565827,0.35769999999999996
1,0.4414,-96.21091434737954,0.6315142754367429,0.4364
1,0.48009999999999997,-95.29924671814177,0.7834588803097043,0.47509999999999997
1,0.5233,-95.31679699205921,0.7805338346567984,0.5183
1,0.5636000000000001,-95.44370389071756,0.759382684880407,0.5586000000000001
1,0.6017,-95.03471603296498,0.8275473278391701,0.5967
