time_seconds,power_dbm
0.0,-99.89458148118128
0.001,-100.23837514157373
0.002,-99.46237682226997
0.003,-99.98122208156701
0.004,-100.07109621643777
0.005,-100.21523556705351
0.006,-100.06335952354432
0.007,-99.71040819846162
0.008,-99.74357382382674
0.009,-99.51520826680571
0.01,-99.92727310779222
0.011,-99.88437695831874
0.012,-99.95806368431124
0.013,-99.85642963740095
0.014,-99.56422794288046
0.015,-100.30851383812612
0.016,-99.69202252246181
0.017,-99.9593501979109
0.018,-100.38755361987963
0.019,-100.13712132955595
0.02,-100.27999950802348
0.021,-100.09700884338757
0.022,-100.41265600993744
0.023,-99.83348371870169
0.024,-100.49122427267145
0.025,-100.3689710109428
0.026,-100.06574328937148
0.027,-99.58820992182913
0.028,-100.43185084943191
0.029,-100.26439618483991
0.03,-99.92147754773056
0.031,-100.1879297404663
0.032,-99.88832987997496
0.033,-99.73904761934567
0.034,-99.92268362127322
0.035,-100.41660430011167
0.036,-100.11730467294635
0.037,-99.81222542949187
0.038,-100.41792739428172
0.039,-99.97032067048623
0.04,-100.2346255389925
0.041,-99.36254251305259
0.042,-99.6983333116117
0.043,-99.95432539898263
0.044,-99.91060507071222
0.045,-100.24891996855173
0.046,-99.86140881056274
0.047,-99.42215189213807
0.048,-99.62676852080853
0.049,-100.1429684430359
0.05,-100.42692696572657
0.051,-100.39823355821743
0.052,-99.98400424523653
0.053,-99.77344993520286
0.054,-100.34180830512422
0.055,-100.04642093932293
0.056,-100.01801200573132
0.057,-100.36639741393518
0.058,-100.04841803766047
0.059,-99.841899830169
0.06,-99.79185910363887
0.061,-100.3643497167513
0.062,-99.80751358021409
0.063,-99.80735616290949
0.064,-100.20246803297934
0.065,-100.7007366100038
0.066,-100.09911162485758
0.067,-100.34216375309536
0.068,-99.98951693956813
0.069,-100.09975061251684
0.07,-100.09849910104634
0.071,-99.9961100816339
0.072,-100.47276542901415
0.073,-99.38847379429316
0.074,-100.0534959657212
0.075,-100.21008840003086
0.076,-100.17866737182791
0.077,-99.93869739022193
0.078,-99.68011862107595
0.079,-100.38768959403261
0.08,-100.27668775836752
0.081,-99.79748646363618
0.082,-99.8344148585459
0.083,-100.14986295872886
0.084,-99.72155450032434
0.085,-99.78653172490803
0.086,-99.97330838771052
0.087,-100.06677779262513
0.088,-99.80949405360057
0.089,-100.04663630184243
0.09,-99.740617475214
0.091,-99.80759179117057
0.092,-100.10413915632088
0.093,-99.87754613258856
0.094,-100.15082526440315
0.095,-99.96389551112806
0.096,-100.29636372583657
0.097,-100.36307709829174
0.098,-100.03964635061094
0.099,-99.9100097895324
0.1,-99.84785629999833
0.101,-100.3828093423932
0.102,-99.93389876258544
0.103,-100.21795670500596
0.104,-100.10303000556193
0.105,-100.37382268079054
0.106,-100.54450736786958
0.107,-100.0544400483878
0.108,-99.60985870406913
0.109,-99.7639829637123
0.11,-99.77771867682664
0.111,-100.48326073739057
0.112,-100.41068711904045
0.113,-99.55209741898629
0.114,-99.82183786477245
0.115,-99.6688509137021
0.116,-100.27536218991533
0.117,-99.84787125654331
0.118,-100.17815635024736
0.119,-99.83648735852253
0.12,-99.86827082777889
0.121,-100.106412649673
0.122,-99.40789686948413
0.123,-100.30740578662454
0.124,-100.03068518000457
0.125,-100.4144864227217
0.126,-100.2641593894498
0.127,-99.94263429630679
0.128,-99.69970059721571
0.129,-100.15961269807487
0.13,-99.95878052890068
0.131,-99.86414643864315
0.132,-100.12632161196484
0.133,-99.92016694723822
0.134,-99.96800069883834
0.135,-99.74209453346303
0.136,-100.10066809574792
0.137,-99.83646483245292
0.138,-100.219492493552
0.139,-99.47063143953129
0.14,-100.06058865384766
0.141,-99.98344923865425
0.142,-99.93534688050497
0.143,-100.0808483167753
0.144,-99.5978771151657
0.145,-99.71978163103603
0.146,-99.93785604873818
0.147,-99.48348429346974
0.148,-99.69435006566198
0.149,-100.14099709358061
0.15,-99.70914734019152
0.151,-100.14331897076777
0.152,-99.58739268962897
0.153,-99.69390788164219
0.154,-100.30914302371234
0.155,-99.97633491167599
0.156,-99.68569797300788
0.157,-99.64318191650094
0.158,-100.19525384081167
0.159,-100.04499223215963
0.16,-100.05194608090632
0.161,-100.29189399993018
0.162,-100.36007142044956
0.163,-100.04929859599986
0.164,-99.78334193444071
0.165,-99.77464374158018
0.166,-99.88150472426507
0.167,-99.696239586533
0.168,-99.67783267265175
0.169,-99.67960347631171
0.17,-99.90847756487685
0.171,-100.06003565947202
0.172,-99.98501912217812
0.173,-100.00067319497458
0.174,-100.15113497601129
0.175,-100.32350401635651
0.176,-99.84645113578432
0.177,-99.6428147573268
0.178,-99.29166074228114
0.179,-100.36071528584831
0.18,-100.4908535303001
0.181,-99.95259969528308
0.182,-99.69348350879763
0.183,-100.46033469948172
0.184,-99.95836882600223
0.185,-99.99530859016228
0.186,-100.15394650920108
0.187,-99.6713115615557
0.188,-99.54733040567424
0.189,-100.3000788979122
0.19,-99.77845345600942
0.191,-99.73415712787126
0.192,-99.72077376282715
0.193,-99.47609128184577
0.194,-100.26784478413647
0.195,-99.98589977662658
0.196,-100.31289675499052
0.197,-99.66228268592735
0.198,-99.6838551329308
0.199,-99.98344075964913
0.2,-100.14599901211393
0.201,-99.91215468129495
0.202,-100.30570375450347
0.203,-100.08416218792685
0.204,-100.76214980357031
0.205,-100.17489145151491
0.206,-99.93955277381117
0.207,-100.51834036458071
0.208,-99.68409263543796
0.209,-100.11537134967159
0.21,-99.90515064142542
0.211,-100.18791652382208
0.212,-99.64420967175062
0.213,-99.85845688180109
0.214,-99.95669152709672
0.215,-100.43094538288187
0.216,-100.10294998816735
0.217,-100.19106767509214
0.218,-99.76381785090183
0.219,-99.63265447353075
0.22,-100.09883253616427
0.221,-100.32117239832368
0.222,-100.12992795313708
0.223,-99.86832622643125
0.224,-99.80293870084947
0.225,-99.5207302955222
0.226,-100.04468323644129
0.227,-100.12864750825969
0.228,-99.79470631126972
0.229,-100.32726986979824
0.23,-99.7984592832811
0.231,-100.00271729612206
0.232,-100.23559725144801
0.233,-100.61431499879302
0.234,-100.26398237133165
0.235,-99.96609623423387
0.236,-99.8994794754318
0.237,-99.80372414794941
0.238,-100.20894477612227
0.239,-99.75954859316808
0.24,-99.32992409810929
0.241,-99.89686627062703
0.242,-100.38691731749915
0.243,-100.24871068817802
0.244,-100.17971185869015
0.245,-100.2476000775212
0.246,-99.82987059085426
0.247,-99.61660262773482
0.248,-100.0189889258706
0.249,-99.85898971176202
0.25,-100.03070743194957
0.251,-100.01157769448896
0.252,-100.00063467230018
0.253,-100.26032976947705
0.254,-99.54824118135345
0.255,-100.06963013250555
0.256,-99.64396321218871
0.257,-99.94219480753486
0.258,-99.5059654819074
0.259,-100.731974894708
0.26,-99.94249800935212
0.261,-100.25429751253168
0.262,-99.63018876384423
0.263,-100.60647427637426
0.264,-99.94690010781316
0.265,-99.82481130598472
0.266,-100.00506824406773
0.267,-100.13829480809058
0.268,-99.53628619547816
0.269,-100.32014946141403
0.27,-100.17241780432451
0.271,-100.2379776639219
0.272,-100.16945389577683
0.273,-100.37678129345228
0.274,-99.96567189695136
0.275,-100.12869550720904
0.276,-100.01878792394044
0.277,-99.91985139324825
0.278,-100.23917642484281
0.279,-99.97015380864639
0.28,-99.51158002250193
0.281,-100.01855222409094
0.282,-99.86683336048895
0.283,-99.69986684250397
0.284,-100.23178990037682
0.285,-100.28862195730518
0.286,-99.8573652760289
0.287,-99.70255231233887
0.288,-99.87037053891194
0.289,-99.74036683897108
0.29,-100.21715396152928
0.291,-99.99424382838642
0.292,-100.11457290682857
0.293,-100.43054386215258
0.294,-100.40404615118501
0.295,-99.99253323533398
0.296,-100.33946495024134
0.297,-99.59603679229183
0.298,-99.94150148369314
