time_seconds,power_dbm
0.0,-99.50974478764441
0.001,-98.22883993407328
0.002,-96.50164081121979
0.003,-95.09682982330983
0.004,-94.80496326442011
0.005,-95.46634528862074
0.006,-96.97170595062761
0.007,-98.43264910992592
0.008,-99.53411676086063
0.009,-99.56733514003295
0.01,-99.5618036855777
0.011,-99.97242696816701
0.012,-99.8843288476256
0.013,-99.40694175012582
0.014,-99.67030584689708
0.015,-100.12117204325911
0.016,-99.8460688093819
0.017,-100.52711320948377
0.018,-99.96751850674771
0.019,-100.10360904574841
0.02,-100.16962622457312
0.021,-100.23729959266323
0.022,-99.8451063019047
0.023,-99.48900831640823
0.024,-99.67574574498781
0.025,-100.16317087965449
0.026,-100.15761993026163
0.027,-100.37618495241539
0.028,-99.68835857016768
0.029,-99.66158983262584
0.03,-100.29643016852057
0.031,-99.68984025227836
0.032,-100.21879413401011
0.033,-100.78464008098925
0.034,-99.56210160683749
0.035,-99.90089964315983
0.036,-99.34941488774594
0.037,-98.75925084742185
0.038,-97.37177727244486
0.039,-96.06893304089391
0.04,-94.61628386284474
0.041,-94.25305585911413
0.042,-95.48896502831307
0.043,-97.44360854340937
0.044,-98.73933561930721
0.045,-99.53924483737633
0.046,-99.36403030561091
0.047,-99.58000978645036
0.048,-99.3956741817313
0.049,-100.01120733301696
0.05,-100.24541750080273
0.051,-99.88262719577605
0.052,-100.21620285831762
0.053,-100.1512601994457
0.054,-100.12214045257753
0.055,-99.99905949106127
0.056,-99.83477580538961
0.057,-99.6689869110112
0.058,-100.30891581068694
0.059,-99.27945615999838
0.06,-100.19762390146283
0.061,-99.62486170083197
0.062,-99.83613824665916
0.063,-100.01126616187722
0.064,-100.03920519940809
0.065,-100.35613509038367
0.066,-100.36953354301957
0.067,-100.8754304868768
0.068,-100.5087576965292
0.069,-100.375658781487
0.07,-100.1584796385465
0.071,-100.45719362688496
0.072,-100.0436448807517
0.073,-99.92603625682328
0.074,-100.39548639893927
0.075,-100.06451150913448
0.076,-99.79800540528161
0.077,-99.32148000015664
0.078,-99.57139443406089
0.079,-98.61950572442052
0.08,-98.45428887586102
0.081,-97.39273380620104
0.082,-96.49232133307365
0.083,-96.30285087489837
0.084,-96.76134394177234
0.085,-98.5566099460034
0.086,-99.74760552498225
0.087,-100.08540232686065
0.088,-99.57592212440365
0.089,-100.02240572917907
0.09,-99.39981973245958
0.091,-100.64993446117614
0.092,-100.21615426417969
0.093,-99.98984746072477
0.094,-100.09422515781618
0.095,-100.18342511634566
0.096,-99.52522136180914
0.097,-99.9004547235115
0.098,-100.21170600031421
0.099,-99.95480318731778
0.1,-99.86307773589604
0.101,-99.73319712916904
0.102,-99.2391011237131
0.103,-100.18176197176467
0.104,-99.8714932470435
0.105,-100.22337126618095
0.106,-99.7760673486602
0.107,-100.41355035122861
0.108,-100.59557268154386
0.109,-99.89254067207622
0.11,-100.23969898963821
0.111,-99.8357992705593
0.112,-99.78201415162846
0.113,-99.45516158118427
0.114,-100.36715165171694
0.115,-100.43909965334686
0.116,-99.9963137190922
0.117,-99.05851172275506
0.118,-98.30066912029528
0.119,-96.89754838402186
0.12,-95.6859918806063
0.121,-96.18123409609625
0.122,-96.5286846516999
0.123,-97.7842903761063
0.124,-99.65635955187673
0.125,-99.89423442584913
0.126,-99.95306818486536
0.127,-99.91056988588176
0.128,-100.25896814750958
0.129,-99.81997070477809
0.13,-99.79783542650112
0.131,-99.87638849707979
0.132,-100.02049594895585
0.133,-99.66821504555752
0.134,-99.9911073995509
0.135,-100.29430948811817
0.136,-99.68702664410516
0.137,-100.09387817231115
0.138,-100.3998215701147
0.139,-99.51342643664962
0.14,-100.2339884157018
0.141,-100.42591821688134
0.142,-99.88243439490411
0.143,-100.08808724843172
0.144,-99.76803493851237
0.145,-99.63119295907157
0.146,-99.90877289770813
0.147,-99.81590015102863
0.148,-100.04502030185095
0.149,-99.7289842862029
0.15,-99.97326547624337
0.151,-100.22889432982095
0.152,-100.16763434430447
0.153,-100.49583484081832
0.154,-99.61157396884754
0.155,-100.23613414594949
0.156,-99.92453600691616
0.157,-99.91763340535657
0.158,-98.41960073102209
0.159,-97.84935227288767
0.16,-96.31747391004508
0.161,-95.80706668565618
0.162,-95.20030781814391
0.163,-96.76185240051261
0.164,-98.32295193214567
0.165,-98.92452203594472
0.166,-99.47424044460033
0.167,-99.56913808408555
0.168,-99.9354257966312
0.169,-100.15598627200147
0.17,-100.22106834713448
0.171,-100.1662563478151
0.172,-99.876568426409
0.173,-99.72828755835539
0.174,-99.75532014085336
0.175,-99.86229045186289
0.176,-99.96311451165253
0.177,-99.58935733792956
0.178,-99.71000452271232
0.179,-99.60211826549038
0.18,-99.48636805103445
0.181,-100.06239289523447
0.182,-100.21552056923197
0.183,-99.8970562858437
0.184,-99.32121257957957
0.185,-100.2343598876163
0.186,-99.99975232151357
0.187,-99.6295233609418
0.188,-99.7826803681477
0.189,-100.2409929449785
0.19,-100.41735709231693
0.191,-100.47600345702016
0.192,-99.88803036834241
0.193,-99.90192407259755
0.194,-99.89653161124761
0.195,-99.8098860318907
0.196,-100.07427056349593
0.197,-100.288708234833
0.198,-100.11125245077857
0.199,-99.03993044944961
0.2,-99.57264089682029
0.201,-98.90812514951332
0.202,-98.53625980270682
0.203,-96.7105456211254
0.204,-95.76109632468415
0.205,-95.20699493163174
0.206,-96.163550223048
0.207,-97.44922815154618
0.208,-98.76444846619975
0.209,-99.98464549815799
0.21,-99.51904679508786
0.211,-100.03425759146431
0.212,-99.27363853224752
0.213,-99.6188554935924
0.214,-99.57051129899946
0.215,-100.37424021674312
0.216,-99.82175973027029
0.217,-100.11536664922494
0.218,-100.37556755063636
0.219,-99.85211915335232
0.22,-99.61004893188594
0.221,-100.32227502416745
0.222,-99.5854255851848
0.223,-100.27903045066583
0.224,-99.37589696864987
0.225,-100.32466251510932
0.226,-99.84281327677417
0.227,-100.68239687493
0.228,-100.10469659612103
0.229,-99.90087011020456
0.23,-99.50014784697997
0.231,-99.95636596286614
0.232,-100.00625480350915
0.233,-99.74185246565769
0.234,-99.95350753184944
0.235,-99.3929951400798
0.236,-100.03651406447077
0.237,-98.42730321704055
0.238,-97.7042425446943
0.239,-95.84922860724183
0.24,-94.45626357037551
0.241,-94.52210670732892
0.242,-96.56379281897216
0.243,-97.52674748463917
0.244,-98.80366395454968
0.245,-99.6373496725182
0.246,-99.52482294795357
0.247,-99.89275439284765
0.248,-99.78555332538426
0.249,-99.97106147525781
0.25,-99.80948421193048
0.251,-100.17759271667883
0.252,-99.92776017622788
0.253,-99.63105125566447
0.254,-100.31347408124972
0.255,-100.46827560861887
0.256,-100.25409256578857
0.257,-99.8890558595086
0.258,-100.27686949097576
0.259,-100.28409881638844
0.26,-99.8242389139921
0.261,-99.81155867532088
0.262,-99.93893338442432
0.263,-99.96818191392063
0.264,-100.13055415465679
0.265,-100.12795187812878
0.266,-100.09731120286867
0.267,-100.2650396915951
0.268,-99.85411095081912
0.269,-99.94468355015155
0.27,-100.11723171677745
0.271,-100.40163856869627
0.272,-99.48130025507876
0.273,-99.94338663010296
0.274,-100.1320490791146
0.275,-99.43373052914053
0.276,-100.07466931634036
0.277,-99.79207927011761
0.278,-99.70388348176625
0.279,-100.34545230047367
0.28,-99.03112676567685
0.281,-98.20667490450349
0.282,-97.29916798431681
0.283,-96.50251499858787
0.284,-96.16531447327365
0.285,-96.9456079486446
0.286,-97.45277622611427
0.287,-98.94932513118214
0.288,-99.0788222208967
0.289,-99.80482535843707
0.29,-99.56254156304858
0.291,-99.85865291382034
0.292,-100.18483754214343
0.293,-99.53908947174487
0.294,-100.66686901535262
0.295,-100.12209047108158
0.296,-100.24001645067011
0.297,-99.67550036509107
0.298,-99.38847355348283
0.299,-99.95798506423432
0.3,-100.0468662291704
0.301,-99.69612210861173
0.302,-100.01346852972237
0.303,-100.20891304235185
0.304,-100.3378732319526
0.305,-100.05398265668344
0.306,-100.1132355780581
0.307,-100.36977228601224
0.308,-99.96290147275461
0.309,-100.23343081589655
0.31,-100.04864598183033
0.311,-99.91060491558441
0.312,-99.63682895604377
0.313,-100.06833036560879
0.314,-99.83941396660636
0.315,-99.93300598041536
0.316,-100.01950789207702
0.317,-99.9221541299839
0.318,-100.09123326513419
0.319,-99.42926019572691
0.32,-99.64587392195665
0.321,-99.25315667904549
0.322,-97.66961700625359
0.323,-96.46176661407192
0.324,-94.87301938904793
0.325,-94.2738073193809
0.326,-95.49697022189369
0.327,-97.01386425813541
0.328,-98.41377953356054
0.329,-99.22163242028503
0.33,-99.84653408623075
0.331,-99.93667387372383
0.332,-99.99288114823281
0.333,-99.8300659859579
0.334,-99.77802886889688
0.335,-99.35460029884241
0.336,-100.07043544822523
0.337,-100.10134437504817
0.338,-100.32990519962142
0.339,-99.5938066772084
0.34,-100.06861684953404
0.341,-99.92408452405206
0.342,-99.81636580733584
0.343,-99.67299023470046
0.344,-99.94807656689343
0.345,-99.97057388154316
0.346,-99.75233298646279
0.347,-100.2856527451898
0.348,-100.31875295524623
0.349,-99.99055762927712
0.35,-99.8344324832986
0.351,-99.97193537723508
0.352,-99.6616416917234
0.353,-100.1551006957339
0.354,-100.3194097373124
0.355,-99.99916607462765
0.356,-99.98791267430168
0.357,-99.79601948269399
0.358,-99.85167797405283
0.359,-99.29728240291773
0.36,-98.46972891069419
0.361,-97.19376043232509
0.362,-95.93881227908749
0.363,-96.33613796638653
0.364,-95.99059581546678
0.365,-96.88668481601165
0.366,-98.63213195931422
0.367,-99.21111629009329
0.368,-99.66182902310901
0.369,-99.90428968116565
0.37,-100.13748402319113
0.371,-100.03863792064212
0.372,-99.82844086186886
0.373,-99.96374501720092
0.374,-100.14246537597762
0.375,-99.89050951699272
0.376,-100.8111295583522
0.377,-100.23184368928186
0.378,-99.33199213395358
0.379,-100.18412311526929
0.38,-100.30221426634205
0.381,-100.44420660249442
0.382,-100.0243946588604
0.383,-100.20635641020225
0.384,-100.46828221166069
0.385,-100.31460630045856
0.386,-99.89593622405451
0.387,-99.91333566732173
0.388,-99.70787476239289
0.389,-100.07026291747367
0.39,-100.18294504745545
0.391,-99.67343646125252
0.392,-99.63635873739952
0.393,-100.08537935746978
0.394,-99.48757011133294
0.395,-99.89909923671782
0.396,-99.36141237711918
0.397,-98.11720757175854
0.398,-97.06644454423406
0.399,-95.6915232664544
0.4,-94.23141879753969
0.401,-94.98304531805111
0.402,-95.60451941146255
0.403,-97.60681183156542
0.404,-99.20629189821743
0.405,-99.63865370043366
0.406,-99.9066654341868
0.407,-99.74064946708768
0.408,-100.02969400048305
0.409,-99.73234598037699
0.41,-99.93400920983754
0.411,-99.59773221890894
0.412,-100.17596547590956
0.413,-99.78327422288122
0.414,-99.510616528501
0.415,-99.92576992992677
0.416,-99.90648911307686
0.417,-99.43021146276989
0.418,-100.25208317125309
0.419,-99.90887639424096
