time_seconds,power_dbm
0.174,-100.44125897884739
0.175,-99.99821831316457
0.176,-99.60941207715464
0.177,-100.11557126552528
0.178,-99.56383311192398
0.179,-100.51317396117173
0.18,-99.70734221856114
0.181,-99.91122381233532
0.182,-100.19324527120442
0.183,-99.96232950308605
0.184,-100.49879246525222
0.185,-99.7595283027232
0.186,-99.88416395121588
0.187,-100.16640620075859
0.188,-99.9199395371744
0.189,-99.57026522375806
0.19,-99.9889821663419
0.191,-99.54666461193439
0.192,-100.26765448099293
0.193,-99.70232302118943
0.194,-99.93696026514502
0.195,-100.07301421148503
0.196,-100.52856556099348
0.197,-99.75618576288375
0.198,-99.83448581161325
0.199,-99.5838099346459
0.2,-100.30993447212337
0.201,-100.50341428013661
0.202,-100.03730266642764
0.203,-99.65337715708893
0.204,-99.81506867887694
0.205,-99.79287235917111
0.206,-100.24148913378315
0.207,-99.77478014546818
0.208,-100.09663498269032
0.209,-100.24585520225644
0.21,-100.21752299467344
0.211,-99.80724081662215
0.212,-100.55941684005114
0.213,-100.22382764457373
0.214,-100.55081084059351
0.215,-99.97097193549057
0.216,-100.41068868184266
0.217,-100.12801671706269
0.218,-100.29892928606996
0.219,-100.39061147718678
0.22,-99.9726426093436
0.221,-100.20664356859162
0.222,-100.23983469710103
0.223,-99.67460632589919
0.224,-100.19560389925098
0.225,-99.95645186213603
0.226,-100.11673472642875
0.227,-99.75502699383732
0.228,-99.96763561520225
0.229,-100.2523570104975
0.23,-99.56752599931708
0.231,-100.0490753263887
0.232,-100.0005270645512
0.233,-100.11579220479976
0.234,-99.52322769771689
0.235,-99.67627281468886
0.236,-99.9046174242192
0.237,-100.34899472012627
0.238,-100.02712239832834
0.239,-99.80600217033987
0.24,-100.33235561483602
0.241,-99.96764092362353
0.242,-100.10893214765795
0.243,-100.82263107974661
0.244,-99.79812206451294
0.245,-100.03586473145563
0.246,-100.31214072361354
0.247,-99.7791981437542
0.248,-99.98706674377793
0.249,-99.798370573721
0.25,-100.16842702997572
0.251,-99.97867542398224
0.252,-100.0834430607524
0.253,-100.1433767127267
0.254,-99.37087876136992
0.255,-99.72439759277857
0.256,-99.66302961746207
0.257,-100.16212907227325
0.258,-100.3921008218232
0.259,-99.77535713073995
0.26,-100.38397981458418
0.261,-100.09788386027738
0.262,-99.96777880772505
0.263,-100.07759869536942
0.264,-99.49941081409153
0.265,-100.62590869226523
0.266,-99.5589710838354
0.267,-99.92738221916642
0.268,-100.04429235185673
0.269,-100.0674522783765
0.27,-100.14382773563635
0.271,-99.60163748415954
0.272,-99.31703456281456
0.273,-99.84742067957721
0.274,-100.09433810531849
0.275,-99.51213960244435
0.276,-99.35877637684895
0.277,-98.32381602118153
0.278,-96.87347557150493
0.279,-94.73519801419638
0.28,-94.42582620849494
0.281,-94.37841533608679
0.282,-96.47195092514815
0.283,-98.10375253750084
0.284,-99.99931754338732
0.285,-99.69424691516252
0.286,-100.1168748758299
0.287,-100.15883059979616
0.288,-100.16994403920755
0.289,-99.77507487406383
0.29,-99.86899272736895
0.291,-99.83373953901804
0.292,-99.88722850078095
0.293,-99.91498696577388
0.294,-100.33753032838295
0.295,-100.47317668021915
0.296,-99.5695418882616
0.297,-99.8335165532574
0.298,-100.62445968825367
0.299,-99.9234549432064
0.3,-99.65418683910826
0.301,-100.0683038763133
0.302,-100.08645525276806
0.303,-100.1114415676104
0.304,-100.21881638380303
0.305,-99.92908480222209
0.306,-99.83996616849241
0.307,-100.23470440443185
0.308,-100.27793922217482
0.309,-100.43952806236312
0.31,-99.98776796458142
0.311,-100.23463188824961
0.312,-99.85922059079937
0.313,-99.78331554314761
0.314,-99.60361467149835
0.315,-100.11241986221465
0.316,-99.84100444910426
0.317,-98.84646519868284
0.318,-97.90892512621788
0.319,-96.61752410006689
0.32,-96.7800380993325
0.321,-97.14683141511644
0.322,-97.96937717919575
0.323,-99.07716903781824
0.324,-99.70250889709098
0.325,-100.05920408722803
0.326,-99.68125745289466
0.327,-99.96726598995683
0.328,-100.25115582005829
0.329,-100.30959782177635
0.33,-99.75412749057092
0.331,-100.09275371380559
0.332,-100.33628875458339
0.333,-100.6755992487008
0.334,-99.83861799970984
0.335,-99.89313316127718
0.336,-100.00346515712344
0.337,-99.71598783517089
0.338,-99.95540746726303
0.339,-100.63204524927549
0.34,-100.05621727131603
0.341,-99.75773346741079
0.342,-100.2847417558905
0.343,-100.55512795166689
0.344,-99.65003893972346
0.345,-99.9033989450242
0.346,-100.24856223147067
0.347,-100.49351733926554
0.348,-99.9873460663316
0.349,-100.01370729035007
0.35,-99.96818892911992
0.351,-99.24613471101843
0.352,-100.08565174744467
0.353,-99.99728075480088
0.354,-99.39571050302195
0.355,-100.63296125471494
0.356,-99.75286150841893
0.357,-99.9990849437046
0.358,-100.26138767646243
0.359,-100.10270268456539
0.36,-98.7593047163792
0.361,-97.9678183826066
0.362,-96.67226770667618
0.363,-96.35886487736984
0.364,-96.70303744456565
0.365,-97.97285481491694
0.366,-99.11016665020122
0.367,-99.63164855152132
0.368,-99.58062307437524
0.369,-100.17482655931619
0.37,-99.95474351792056
0.371,-99.94908306199807
0.372,-100.1565843885175
0.373,-99.72508064327067
0.374,-100.52990482289353
0.375,-99.47515682188427
0.376,-99.74833030999166
0.377,-100.13683032716213
0.378,-100.02317261344837
0.379,-100.486431045318
0.38,-99.07407117419282
0.381,-99.83551362200996
0.382,-99.70648921501648
0.383,-100.14479711484813
0.384,-99.61886379629026
0.385,-99.68154852645227
0.386,-99.93829257852907
0.387,-100.04604255839979
0.388,-99.4630455428662
0.389,-99.78548574976323
0.39,-100.45572385987391
0.391,-99.87438365034676
0.392,-99.7372058622396
0.393,-99.52000208208929
0.394,-99.98402572845066
0.395,-100.14981132788475
0.396,-100.14139428147007
0.397,-99.96968111541706
0.398,-100.05460554549823
0.399,-99.7464283779752
0.4,-99.8897226272425
0.401,-100.09063001434207
0.402,-100.3562660072602
0.403,-99.71212201598821
0.404,-99.84241531740918
0.405,-99.3953141343206
0.406,-99.45607000236475
0.407,-100.20431713341509
0.408,-100.08552876278473
0.409,-99.92280719611738
0.41,-99.89513435888885
0.411,-100.37414879475634
0.412,-100.28588659826259
0.413,-100.35445572434075
0.414,-99.87525943452553
0.415,-100.19829039210684
0.416,-99.6167034458623
0.417,-99.91953969657533
0.418,-100.15376047824876
0.419,-100.0149171041251
0.42,-99.78188260382342
0.421,-99.72101330923395
