Device,StartTime,Duration,Success
18.0,6.794138768218426,0.054272,1.0
93.0,6.848930789131392,0.054272,1.0
81.0,6.90934324370818,0.045056,1.0
85.0,6.955561951694667,0.061439999999999995,1.0
2.0,7.021888659861379,0.008192,1.0
24.0,7.03143648266643,0.043008,1.0
57.0,7.076321937078834,0.032768,1.0
39.0,7.110872180664437,0.013312,1.0
28.0,7.218280830527905,0.019455999999999998,1.0
60.0,7.308187971109695,0.045056,1.0
45.0,7.357648166250769,0.024576,1.0
71.0,7.509550450989358,0.044031999999999995,1.0
21.0,7.561194989997687,0.064512,1.0
49.0,7.627606350423298,0.014336,1.0
66.0,7.647036105521487,0.013312,1.0
89.0,7.671738730376205,0.010239999999999999,1.0
95.0,7.6868553802507575,0.054272,1.0
100.0,7.741666569156746,0.050176,1.0
67.0,7.792441234998946,0.048128,1.0
12.0,7.841519979286817,0.017408,1.0
70.0,7.859864320460439,0.024576,1.0
22.0,8.007783555918666,0.008192,1.0
7.0,8.11744798302642,0.030719999999999997,1.0
6.0,8.148707287129046,0.048128,1.0
37.0,8.197135288991856,0.045056,1.0
97.0,8.244238057812618,0.046079999999999996,1.0
77.0,8.29142523018135,0.009216,1.0
38.0,8.301819445953742,0.053248,1.0
96.0,8.35520284895615,0.049152,1.0
69.0,8.406436431696344,0.014336,1.0
46.0,8.421314507719304,0.050176,1.0
34.0,8.471892430710326,0.024576,1.0
72.0,8.497006649150954,0.031744,1.0
54.0,8.529001591743206,0.018432,1.0
32.0,8.549709539594225,0.065536,1.0
56.0,8.617147991268647,0.030719999999999997,1.0
2.0,8.64834878626042,0.021504,1.0
52.0,8.672917417570131,0.021504,1.0
87.0,8.695340179251602,0.03584,1.0
76.0,8.731581967071328,0.028672,1.0
98.0,8.760411011347484,0.061439999999999995,1.0
11.0,8.82204621805449,0.062464,1.0
29.0,8.885738026014655,0.049152,1.0
63.0,8.935725341739962,0.025599999999999998,1.0
25.0,8.96216268685672,0.031744,1.0
53.0,8.995919177376031,0.047104,1.0
35.0,9.043330739318248,0.031744,1.0
59.0,9.076007155327744,0.062464,1.0
41.0,9.13921806450284,0.03584,1.0
16.0,9.175091698165355,0.008192,1.0
79.0,9.183417634585698,0.045056,1.0
66.0,9.230364554351766,0.026624,1.0
50.0,9.257020360059107,0.044031999999999995,1.0
89.0,9.301787289836833,0.059392,1.0
83.0,9.36124435992864,0.023552,1.0
10.0,9.385322000842665,0.012288,1.0
9.0,9.397717461780637,0.008192,1.0
43.0,9.406345476219991,0.009216,1.0
49.0,9.417009124789557,0.061439999999999995,1.0
19.0,9.478619124367567,0.014336,1.0
80.0,9.493618967229438,0.047104,1.0
74.0,9.540916793480768,0.032768,1.0
28.0,9.57380330181672,0.043008,1.0
65.0,9.617745000572052,0.040959999999999996,1.0
77.0,9.659197078516144,0.044031999999999995,1.0
86.0,9.703508941133562,0.041984,1.0
12.0,9.746481735968157,0.055296,1.0
55.0,9.802307475475404,0.012288,1.0
26.0,9.815647032867933,0.064512,1.0
45.0,9.880868442013325,0.022528,1.0
88.0,9.903407232969268,0.041984,1.0
73.0,9.94647122756633,0.031744,1.0
51.0,9.978459004461687,0.014336,1.0
40.0,9.993442110058902,0.018432,1.0
