frequency_mhz,amplitude_spectrum,power_spectrum
-4.53781512605042,7.850462293418876e-17,6.162975822039155e-33
-4.530812324929972,1.1102230246251565e-16,1.232595164407831e-32
-4.523809523809524,1.1102230246251565e-16,1.232595164407831e-32
-4.516806722689076,1.7554167342883506e-16,3.0814879110195774e-32
-4.509803921568627,1.2412670766236366e-16,1.5407439555097887e-32
-4.502801120448179,1.1102230246251565e-16,1.232595164407831e-32
-4.495798319327731,5.551115123125783e-17,3.0814879110195774e-33
-4.488795518207283,7.850462293418876e-17,6.162975822039155e-33
-4.481792717086835,0.0,0.0
-4.474789915966387,3.7238012298709097e-16,1.3866695599588098e-31
-4.4677871148459385,1.2412670766236366e-16,1.5407439555097887e-32
-4.46078431372549,1.2412670766236366e-16,1.5407439555097887e-32
-4.453781512605042,1.2412670766236366e-16,1.5407439555097887e-32
-4.446778711484594,2.7755575615628914e-16,7.703719777548943e-32
-4.439775910364146,5.551115123125783e-17,3.0814879110195774e-33
-4.432773109243698,1.1102230246251565e-16,1.232595164407831e-32
-4.42577030812325,2.2887833992611187e-16,5.238529448733282e-32
-4.418767507002801,1.2412670766236366e-16,1.5407439555097887e-32
-4.411764705882353,7.850462293418876e-17,6.162975822039155e-33
-4.404761904761905,1.6653345369377348e-16,2.7733391199176196e-32
-4.397759103641457,1.2412670766236366e-16,1.5407439555097887e-32
-4.390756302521009,1.2412670766236366e-16,1.5407439555097887e-32
-4.383753501400561,1.2412670766236366e-16,1.5407439555097887e-32
-4.3767507002801125,0.0,0.0
-4.369747899159664,5.551115123125783e-17,3.0814879110195774e-33
-4.362745098039216,1.6653345369377348e-16,2.7733391199176196e-32
-4.355742296918768,5.551115123125783e-17,3.0814879110195774e-33
-4.34873949579832,0.0,0.0
-4.341736694677871,7.850462293418876e-17,6.162975822039155e-33
-4.334733893557423,5.551115123125783e-17,3.0814879110195774e-33
-4.3277310924369745,5.551115123125783e-17,3.0814879110195774e-33
-4.320728291316526,5.551115123125783e-17,3.0814879110195774e-33
-4.313725490196078,0.0,0.0
-4.30672268907563,1.2412670766236366e-16,1.5407439555097887e-32
-4.299719887955182,1.7554167342883506e-16,3.0814879110195774e-32
-4.292717086834734,1.1102230246251565e-16,1.232595164407831e-32
-4.285714285714286,1.5700924586837752e-16,2.465190328815662e-32
-4.278711484593837,7.850462293418876e-17,6.162975822039155e-33
-4.271708683473389,1.5700924586837752e-16,2.465190328815662e-32
-4.264705882352941,3.236828524569469e-16,1.0477058897466563e-31
-4.257703081232493,4.041272810440265e-16,1.633188592840376e-31
-4.250700280112045,1.2412670766236366e-16,1.5407439555097887e-32
-4.243697478991597,5.551115123125783e-17,3.0814879110195774e-33
-4.2366946778711485,1.7554167342883506e-16,3.0814879110195774e-32
-4.2296918767507,2.0014830212433605e-16,4.0059342843254506e-32
-4.222689075630252,2.2887833992611187e-16,5.238529448733282e-32
-4.215686274509804,1.7554167342883506e-16,3.0814879110195774e-32
-4.208683473389356,5.551115123125783e-17,3.0814879110195774e-33
-4.201680672268908,1.2412670766236366e-16,1.5407439555097887e-32
-4.19467787114846,1.7554167342883506e-16,3.0814879110195774e-32
-4.187675070028011,1.5700924586837752e-16,2.465190328815662e-32
-4.180672268907563,1.1102230246251565e-16,1.232595164407831e-32
-4.173669467787115,2.830524433501838e-16,8.011868568650901e-32
-4.166666666666667,5.911284978447206e-17,3.494329009641559e-33
-4.159663865546219,1.7061781336427936e-16,2.9110438237208066e-32
-4.152661064425771,1.2616681937656492e-16,1.5918066311598756e-32
-4.1456582633053225,1.5567400071704507e-16,2.423439449925055e-32
-4.138655462184874,1.7722815060289354e-16,3.1409817366121905e-32
-4.131652661064426,3.2340845712925026e-17,1.0459303014272211e-33
-4.124649859943978,1.5747892533800581e-16,2.479961192561321e-32
-4.117647058823529,1.4626223952662424e-16,2.1392642711343607e-32
-4.110644257703081,9.747163428087818e-17,9.500719489385267e-33
-4.103641456582633,2.763972842133709e-17,7.639545872052694e-34
-4.0966386554621845,1.8004631918903273e-16,3.2416677053519055e-32
-4.089635854341736,3.102009307588949e-16,9.622461744368473e-32
-4.082633053221288,2.0014830212433605e-16,4.0059342843254506e-32
-4.07563025210084,7.570950048810508e-17,5.731928464158383e-33
-4.068627450980392,1.372599327850047e-16,1.8840289148144007e-32
-4.061624649859944,1.5707037981035995e-16,2.4671104213770727e-32
-4.054621848739496,1.6030132026757624e-16,2.569651327952805e-32
-4.0476190476190474,2.9020243971310486e-16,8.421745601543825e-32
-4.040616246498599,1.0994791127177607e-16,1.2088543193026342e-32
-4.033613445378151,2.1922105992838518e-16,4.805787311612465e-32
-4.026610644257703,1.163234585970511e-16,1.353114701997986e-32
-4.019607843137255,1.6068926727139547e-16,2.5821040616217966e-32
-4.012605042016807,2.6114540778944165e-16,6.819692400951377e-32
-4.0056022408963585,3.705571724015284e-16,1.3731261801821602e-31
-3.9985994397759104,8.924659186468968e-17,7.964954159462492e-33
-3.991596638655462,3.636091527643084e-16,1.3221161597397818e-31
-3.984593837535014,1.3773130931392383e-16,1.8969913565327763e-32
-3.977591036414566,1.628058197864897e-16,2.650573495635096e-32
-3.9705882352941178,2.4086749555306537e-16,5.801715041400596e-32
-3.9635854341736696,1.926785197847759e-16,3.712501198645228e-32
-3.9565826330532214,1.0762428435360067e-16,1.1582986582624694e-32
-3.9495798319327733,1.960847085316449e-16,3.844921291994013e-32
-3.942577030812325,1.49283211163891e-16,2.2285477135402865e-32
-3.935574229691877,1.0720822665654659e-16,1.1493603862841467e-32
-3.928571428571429,1.900469732493879e-16,3.611785204125355e-32
-3.9215686274509807,1.845463400620694e-16,3.405735163030496e-32
-3.9145658263305325,1.4367343154215772e-17,2.0642054931099084e-34
-3.9075630252100844,2.230055335716594e-16,4.973146800358051e-32
-3.900560224089636,1.4138134652031351e-16,1.9988685143896961e-32
-3.893557422969188,2.509539981380305e-16,6.297790918146261e-32
-3.88655462184874,3.415296502022995e-17,1.1664250196730502e-33
-3.8795518207282913,1.8791927989604407e-16,3.5313655756647755e-32
