time_ms,real_part,imaginary_part,amplitude,power
0.0,0.01730680932974067,0.022251611995380866,0.028189712406638284,0.0007946598855689763
0.0005,0.02476835941950092,0.013715308183257302,0.028312211268202006,0.0008015813068953046
0.001,-0.020971202771486574,0.022707931600134623,0.03091021680996752,0.0009554415032391988
0.0015,-0.07077183715355029,0.039586589741352825,0.08109100456548077,0.006575751021438822
0.002,-0.044597018129303535,0.03595289229834054,0.05728441752031265,0.0032815044906415024
0.0025,0.03573534765612383,0.004800528607110469,0.03605634683397253,0.0013000601470117207
0.003,0.06948988836722701,-0.017374577331203806,0.0716290480372848,0.005130720522727654
0.0035,0.03053551780488805,-0.0021039069672623653,0.03060791192060527,0.0009368442721395302
0.004,0.0006381583225857676,0.019534885204269253,0.01954530598350057,0.00038201898598866325
0.0045,0.03289356202521644,0.0051055418382640865,0.03328742976213433,0.0011080529801690262
0.005,0.07418156111662726,-0.021931855575948556,0.07735573862813393,0.005983910298704171
0.0055,0.05951578833269696,-0.007491323216072448,0.05998540642848103,0.003598248984390054
0.006,0.0075338795378426205,0.034811938654880775,0.03561783842124485,0.0012686304138019061
0.0065,-0.023867609722053564,0.037628766688752154,0.044559924555151675,0.0019855868763608096
0.007,-0.021287491297413075,-0.00675744981270822,0.022334287848702672,0.0004988204137087078
0.0075,-0.010920795658783743,-0.028674626530765256,0.03068383914212458,0.0009414979844997766
0.008,-0.009469309167557187,0.005507743261629721,0.010954590450893644,0.00012000305194681018
0.0085,-0.016444168042123744,0.04063643888222534,0.043837550429129124,0.0019217308276264391
0.009,-0.027326706434733984,0.025222707633866366,0.03718781877111956,0.0013829338649536324
0.0095,-0.030557440019815307,-0.013617716274797765,0.03345443673274895,0.001119199337105502
0.01,-0.016961144011250956,-0.02883415279128533,0.033452784239306324,0.0011190887733615819
0.0105,-0.004199416621628567,-0.026413440707558643,0.026745185547565872,0.0007153049499737263
0.011,-0.01987479705123795,-0.031704100875663846,0.03741867942835725,0.0014001575701621657
0.0115,-0.051078170169786025,-0.0319562679275188,0.060250996072670746,0.0036301825277489856
0.012,-0.04940928538250088,-0.0045497217594992765,0.04961831768710298,0.0024619774500982765
0.0125,-0.0013313845859385988,0.032031466807506355,0.0320591242980225,0.0010277874507560562
0.013,0.04358931173948562,0.04409145798412081,0.06200068358564726,0.00384408476508755
0.0135,0.03551584454795192,0.035824664520065934,0.0504458303720888,0.002544781801929557
0.014,-0.012589824055234374,0.03500361125948297,0.037198877280729334,0.0013837564709467608
0.0145,-0.044145551532416456,0.04405991024162549,0.06237070955666074,0.003890105410601332
0.015,-0.0228763137820546,0.0421111718936468,0.04792365314238147,0.0022966765305112895
0.0155,0.03371236914910454,0.022803411950355523,0.04070036154904662,0.0016565194302231125
0.016,0.07169111987423725,-6.482508119425907e-5,0.07169114918254141,0.005139620871113407
0.0165,0.051401550662893786,-0.015039820914120688,0.05355665807048512,0.0028683156236788587
0.017,-0.00608775578210401,-0.01846481252288974,0.019442481116565512,0.00037801007196800655
0.0175,-0.03490972043344861,-0.007810390545955369,0.035772765915174747,0.0012796907812218884
0.018,-0.005472507788100985,0.012061675217338141,0.013245087789039944,0.00017543235053937503
0.0185,0.032943212475508896,0.02633689273444448,0.04217685582297665,0.0017788871671121594
0.019,0.02219265927535677,0.028015114492118486,0.035740184186970635,0.001277360765718586
0.0195,-0.019212606122396673,0.026956021991176266,0.03310213521214504,0.0010957513556031327
0.02,-0.029520922417553178,0.031213208672416504,0.042962184022824194,0.0018457492560110106
0.0205,-0.0021638636586545404,0.03377008428361264,0.033839339509741426,0.0011451008984555472
0.021,0.011819732201687702,0.02722247581584123,0.029677756971571722,0.000880769258863674
0.0215,-0.006025906119894229,0.0162411735380942,0.017323026942779658,0.00030008726246027
0.022,-0.01635398856959428,0.006977713333261617,0.017780366292503576,0.00031614142549559734
0.0225,0.0026602021139373235,-8.438340103420219e-5,0.0026615401265745937,7.083795845366703e-6
0.023,0.019212410809291283,-0.000562038514418546,0.01922062996877736,0.00036943261639666233
0.0235,0.011058537778368812,0.011641291779330596,0.016056491898516323,0.00025781093208712035
0.024,0.007626289054429088,0.0261631142879189,0.02725195101243966,0.0007426688339844112
0.0245,0.03338187088787058,0.021977939062308053,0.03996722544036535,0.0015973791094009873
0.025,0.05480643247420941,0.00043612114270052726,0.054808167659585065,0.0030039352422011863
0.0255,0.028471782986164942,-0.010282854058678395,0.03027176099937614,0.0009163795140033502
0.026,-0.026689098207603523,0.004198359135975151,0.02701729413856487,0.0007299341825697316
0.0265,-0.050994256210224694,0.02274760967256315,0.055837871666543026,0.0031178679122493285
0.027,-0.025990078398738608,0.024207373737992217,0.03551733546401552,0.0012614811184634145
0.0275,0.005926873525918086,0.021650298195710706,0.022446898265805523,0.000503863241755423
0.028,0.0054522535547172875,0.03674570438215523,0.037147999399236416,0.0013799738593656692
0.0285,-0.013897038111194936,0.056633710178736016,0.058313847385274384,0.003400504796873072
0.029,-0.015105521897756869,0.04777366503835319,0.05010488861379079,0.002510499863000382
0.0295,0.005460068759005942,0.009086249618867536,0.01060057937046099,0.00011237228298944315
0.03,0.0171949435395047,-0.019342764087839477,0.025880660847137714,0.0006698086058845669
0.0305,0.007023088265730877,-0.009397713089414972,0.011732040747423622,0.00013764078009920823
0.031,0.0008163664259361524,0.017214167568761898,0.017233514418910894,0.0002969940192268097
0.0315,0.017462155137326987,0.021454605569697364,0.027662735985281073,0.0007652269621913645
0.032,0.029380569402385457,0.0011100880478822053,0.029401533189315817,0.0008644501538824395
0.0325,0.0025612213525977507,-0.011928309898439677,0.012200181631853544,0.0001488444318502166
0.033,-0.04144447157356329,-0.0028085399177255376,0.04153952479845374,0.0017255321204813533
0.0335,-0.04922473925752788,0.006760033145590091,0.04968674876766523,0.002468773003101083
