parameter,value
Duration (ms),0.1428
Bandwidth (MHz),1.0
Center Frequency (GHz),4.7
Sampling Rate (MHz),2.0
Sample Count,286
Modulation,QPSK
Execution Time,2025-10-06_13-06-43
