SNR_dB,PER_nd=2,PER_nd=4,PER_nd=8
-20.0,1.0,1.0,1.0
-19.5,1.0,1.0,1.0
-19.0,1.0,1.0,1.0
-18.5,1.0,1.0,1.0
-18.0,1.0,1.0,1.0
-17.5,1.0,1.0,1.0
-17.0,1.0,1.0,1.0
-16.5,1.0,1.0,1.0
-16.0,1.0,1.0,1.0
-15.5,1.0,1.0,1.0
-15.0,1.0,1.0,1.0
-14.5,1.0,1.0,1.0
-14.0,1.0,1.0,1.0
-13.5,1.0,1.0,1.0
-13.0,1.0,1.0,1.0
-12.5,1.0,1.0,1.0
-12.0,1.0,1.0,1.0
-11.5,1.0,1.0,0.9999156686868632
-11.0,0.9989868286585032,0.9983919796504169,0.9989852248231768
-10.5,0.9873305019285636,0.9866263289436605,0.9875315807364317
-10.0,0.9184372138712898,0.9271769591501902,0.9319642337842218
-9.5,0.7458052070633397,0.7673403480107893,0.7828047600144235
-9.0,0.4987393618662106,0.5295160170413747,0.573471799656563
-8.5,0.26451909434837606,0.3086198385720246,0.38710133568538907
-8.0,0.12640026010108474,0.17527785456563721,0.27156929295581694
-7.5,0.05990861569445542,0.11943674946676046,0.2200314458475989
-7.0,0.039315425599493095,0.09726683879832917,0.20006745706965728
-6.5,0.029388566301422503,0.08626444206967203,0.1961658197714132
-6.0,0.03472205407592552,0.086576388626897,0.19637155145504184
-5.5,0.029406529356144996,0.08526820521282848,0.19373181532104466
-5.0,0.025706107394221175,0.09003132846932607,0.19847689687490422
-4.5,0.03029847238165831,0.08014065713967594,0.19662270310097588
-4.0,0.03193483016073513,0.0874121857030064,0.19308090243268525
-3.5,0.024703894538081896,0.09222765274596317,0.1971897718439696
-3.0,0.031551897787114036,0.08408038371492924,0.20125071970357042
-2.5,0.025110281642348152,0.09044756032227794,0.1915700704456561
-2.0,0.033067748743565994,0.09412793878103282,0.19658862784954814
-1.5,0.03360351232691658,0.088739280843483,0.19022125122659256
-1.0,0.03367153806538235,0.08772065853641495,0.19724853015078758
-0.5,0.02894417443045231,0.09013156875483241,0.19416360577189415
0.0,0.02757459595527105,0.08754111828692293,0.1925064196356807
